uniprot_id,af_len,af_plddt_mean,af_plddt_sd,af_plddt_frac70,af_plddt_frac90
Q06830,199,97.18160804020098,5.375633133414233,0.9899497487437185,0.9698492462311558
Q8TE57,1224,71.87153594771247,19.276481596466315,0.6805555555555556,0.10866013071895425
P01031,1676,81.55901551312644,12.803574019871816,0.85381861575179,0.25477326968973746
P05067,770,67.38990909090913,25.72258735278404,0.5545454545454546,0.2883116883116883
P07948,512,83.14503906249996,21.19431651038137,0.822265625,0.6171875
Q13867,455,98.00854945054948,4.049278172721908,0.9934065934065934,0.978021978021978
Q8NC01,280,84.16632142857144,20.075997814649863,0.7928571428571428,0.6678571428571428
Q6EMK4,673,73.83955423476972,22.93357562041734,0.6478454680534919,0.3655274888558692
O75781,387,69.02935400516792,22.998119366911983,0.5193798449612403,0.3023255813953488
O95971,181,75.18265193370162,23.473941179831925,0.6077348066298343,0.47513812154696133
Q13224,1484,60.6994811320755,26.35901750523503,0.47035040431266845,0.1778975741239892
O14653,212,83.12066037735842,10.516469049163549,0.9056603773584906,0.25471698113207547
P51888,382,86.15397905759163,18.63710936340841,0.819371727748691,0.6963350785340314
P01589,272,72.51926470588232,24.12139405030172,0.5919117647058824,0.4227941176470588
Q92597,394,77.97705583756338,24.9870373086504,0.6903553299492385,0.5761421319796954
O95183,116,79.80801724137929,14.875585599590263,0.8017241379310345,0.25862068965517243
Q8IV16,184,73.35000000000002,22.60150504800029,0.5163043478260869,0.43478260869565216
Q02246,1040,85.69071153846161,15.538831676748682,0.9086538461538461,0.5682692307692307
Q9NP95,211,82.40047393364924,22.246838462494747,0.7298578199052133,0.6398104265402843
Q96A32,169,84.14201183431956,15.882747648804333,0.8520710059171598,0.591715976331361
O15123,496,83.85052419354837,21.061947708070083,0.8024193548387096,0.6512096774193549
Q9H6S3,715,73.03883916083916,24.83117440413998,0.6559440559440559,0.36083916083916084
Q8WZ55,320,53.70324999999999,12.656469642538559,0.15,0.0
P35916,1363,72.40850330154068,23.304865631521103,0.6889214966984593,0.2736610418195158
P07306,291,86.15890034364261,19.20985801193924,0.8247422680412371,0.6941580756013745
Q7Z5L3,287,74.0595818815331,23.290940033198627,0.578397212543554,0.40418118466898956
Q9NWV8,329,78.16136778115502,24.000156121864205,0.6838905775075987,0.5805471124620061
P01584,269,76.23014869888473,22.33767166565425,0.5650557620817844,0.483271375464684
